INSTRUMENT,SYMBOL,Status,Date of Update
FUTSTK,PNB,0,0
FUTSTK,POLYCAB,0,0
FUTSTK,POLYCAB,0,0
FUTSTK,POLYCAB,0,0
FUTSTK,POWERGRID,0,0
FUTSTK,POWERGRID,0,0
FUTSTK,POWERGRID,0,0
FUTSTK,PVRINOX,0,0
FUTSTK,PVRINOX,0,0
FUTSTK,PVRINOX,0,0
FUTSTK,RAMCOCEM,0,0
FUTSTK,RAMCOCEM,0,0
FUTSTK,RAMCOCEM,0,0
FUTSTK,RBLBANK,0,0
FUTSTK,RBLBANK,0,0
FUTSTK,RBLBANK,0,0
FUTSTK,RECLTD,0,0
FUTSTK,RECLTD,0,0
FUTSTK,RECLTD,0,0
FUTSTK,RELIANCE,0,0
FUTSTK,RELIANCE,0,0
FUTSTK,RELIANCE,0,0
FUTSTK,SAIL,0,0
FUTSTK,SAIL,0,0
FUTSTK,SAIL,0,0
FUTSTK,SBICARD,0,0
FUTSTK,SBICARD,0,0
FUTSTK,SBICARD,0,0
FUTSTK,SBILIFE,0,0
FUTSTK,SBILIFE,0,0
FUTSTK,SBILIFE,0,0
FUTSTK,SBIN,0,0
FUTSTK,SBIN,0,0
FUTSTK,SBIN,0,0
FUTSTK,SHREECEM,0,0
FUTSTK,SHREECEM,0,0
FUTSTK,SHREECEM,0,0
FUTSTK,SHRIRAMFIN,0,0
FUTSTK,SHRIRAMFIN,0,0
FUTSTK,SHRIRAMFIN,0,0
FUTSTK,SIEMENS,0,0
FUTSTK,SIEMENS,0,0
FUTSTK,SIEMENS,0,0
FUTSTK,SRF,0,0
FUTSTK,SRF,0,0
FUTSTK,SRF,0,0
FUTSTK,SUNPHARMA,0,0
FUTSTK,SUNPHARMA,0,0
FUTSTK,SUNPHARMA,0,0
FUTSTK,SUNTV,0,0
FUTSTK,SUNTV,0,0
FUTSTK,SUNTV,0,0
FUTSTK,SYNGENE,0,0
FUTSTK,SYNGENE,0,0
FUTSTK,SYNGENE,0,0
FUTSTK,TATACHEM,0,0
FUTSTK,TATACHEM,0,0
FUTSTK,TATACHEM,0,0
FUTSTK,TATACOMM,0,0
FUTSTK,TATACOMM,0,0
FUTSTK,TATACOMM,0,0
FUTSTK,TATACONSUM,0,0
FUTSTK,TATACONSUM,0,0
FUTSTK,TATACONSUM,0,0
FUTSTK,TATAMOTORS,0,0
FUTSTK,TATAMOTORS,0,0
FUTSTK,TATAMOTORS,0,0
FUTSTK,TATAPOWER,0,0
FUTSTK,TATAPOWER,0,0
FUTSTK,TATAPOWER,0,0
FUTSTK,TATASTEEL,0,0
FUTSTK,TATASTEEL,0,0
FUTSTK,TATASTEEL,0,0
FUTSTK,TCS,0,0
FUTSTK,TCS,0,0
FUTSTK,TCS,0,0
FUTSTK,TECHM,0,0
FUTSTK,TECHM,0,0
FUTSTK,TECHM,0,0
FUTSTK,TITAN,0,0
FUTSTK,TITAN,0,0
FUTSTK,TITAN,0,0
FUTSTK,TORNTPHARM,0,0
FUTSTK,TORNTPHARM,0,0
FUTSTK,TORNTPHARM,0,0
FUTSTK,TRENT,0,0
FUTSTK,TRENT,0,0
FUTSTK,TRENT,0,0
FUTSTK,TVSMOTOR,0,0
FUTSTK,TVSMOTOR,0,0
FUTSTK,TVSMOTOR,0,0
FUTSTK,UBL,0,0
FUTSTK,UBL,0,0
FUTSTK,UBL,0,0
FUTSTK,ULTRACEMCO,0,0
FUTSTK,ULTRACEMCO,0,0
FUTSTK,ULTRACEMCO,0,0
FUTSTK,UPL,0,0
FUTSTK,UPL,0,0
FUTSTK,UPL,0,0
FUTSTK,VEDL,0,0
FUTSTK,VEDL,0,0
FUTSTK,VEDL,0,0
FUTSTK,VOLTAS,0,0
FUTSTK,VOLTAS,0,0
FUTSTK,VOLTAS,0,0
FUTSTK,WIPRO,0,0
FUTSTK,WIPRO,0,0
FUTSTK,WIPRO,0,0
FUTSTK,ZEEL,0,0
FUTSTK,ZEEL,0,0
FUTSTK,ZYDUSLIFE,0,0
FUTSTK,ZYDUSLIFE,0,0
FUTSTK,ZYDUSLIFE,0,0
