Time,CE_OI,CE_CHNG_IN_OI,CE_Volume,CE_IV,CE_LTP,CE_CHNG,CE_BID_QTY,CE_BID_PRICE,CE_ASK_PRICE,CE_ASK_QTY,strikePrice,PE_CHNG_IN_OI,PE_Volume,PE_IV,PE_LTP,PE_CHNG,PE_BID_QTY,PE_BID_PRICE,PE_ASK_PRICE,PE_ASK_QTY,PE_OI,Nifty Current Price,COI_by_Volume_Call,COI_by_Volume_Put
09:23:12 AM,6036,55,4155,19.28,1.2,0.05,24000,1.15,1.2,19450,20700,0,0,0.0,0.0,0.0,300,1226.55,1266.75,2000,0,19452.85,0.6618531889290012,
09:23:12 AM,1151,624,1323,19.92,1.2,0.1999999999999999,17250,1.15,1.2,14400,20750,0,0,0.0,0.0,0.0,150,1294.2,1316.65,150,0,19454.8,23.582766439909296,
09:23:12 AM,6705,1600,15443,20.41,1.05,0.05,166200,1.0,1.05,71500,20800,0,0,0.0,0.0,0.0,1550,1326.3,1366.7,1550,0,19454.8,5.180340607394936,
09:23:12 AM,853,219,1595,21.29,1.1,0.1500000000000001,22200,1.05,1.1,13900,20850,0,0,0.0,0.0,0.0,150,1389.85,1416.55,150,0,19452.85,6.8652037617554855,
09:23:12 AM,9705,501,9532,21.6,1.0,0.05,95700,0.95,1.0,102550,20900,0,0,0.0,0.0,0.0,300,1426.15,1466.55,300,0,19454.8,2.627989928661352,
09:23:12 AM,318,0,1201,22.37,1.05,-6.5,1800,1.05,1.1,4150,20950,0,0,0.0,0.0,0.0,150,1479.55,1516.6,150,0,19452.85,0.0,
09:23:12 AM,2084,0,3519,22.9,1.0,-5.7,3600,0.95,1.0,168300,21000,0,0,0.0,0.0,0.0,450,1534.45,1581.2,150,0,19454.8,0.0,
09:28:12 AM,30,0,0,0.0,0.0,0.0,1500,2360.85,2431.15,350,17050,1651,6291,41.27,1.7,-0.4499999999999999,40700,1.65,1.7,31000,14972,19475.8,,13.121920203465269
09:28:12 AM,12,0,0,0.0,0.0,0.0,1500,2307.95,2382.0,50,17100,1640,13026,40.6,1.7,-0.5000000000000002,46700,1.7,1.75,38350,41687,19475.8,,6.295102103485337
09:28:12 AM,0,0,0,0.0,0.0,0.0,1500,2256.4,2332.9,300,17150,119,925,40.17,1.8,-0.55,3600,1.8,1.85,4650,404,19475.8,,6.432432432432432
