Date,Time,close CE,volume CE,oi CE,COI CE,COP CE,Conclusion CE,close PE,volume PE,oi PE,COI PE,COP PE,Conclusion PE,Bullishness CE,Bullishness PE,Over All Bullishness,Cumulative Bullishness,LB CE,SB CE,LC CE,SC CE,LB PE,SB PE,LC PE,SC PE,Net_SB_call,Net_SB_put,Cumulative SB call,Cumulative SB put
2024-02-09,12:40,123.35,38350,1226800,-1800,0.7999999999999972,SC,214.3,14250,645400,4000,0.75,LB,1800.0,0.0,1800.0,-245450,0.0,0.0,0.0,-1800.0,4000.0,0.0,0.0,0.0,-1800.0,0.0,346900,101450
2024-02-09,12:43,127.3,42900,1218450,-8350,3.950000000000003,SC,209.15,15450,651400,6000,-5.150000000000006,SB,8350.0,6000.0,14350.0,-231100,0.0,0.0,0.0,-8350.0,0.0,6000.0,0.0,0.0,-8350.0,6000.0,338550,107450
2024-02-09,12:46,128.5,56250,1222950,4500,1.2000000000000028,LB,207.15,18200,659900,8500,-2.0,SB,0.0,8500.0,8500.0,-222600,4500.0,0.0,0.0,0.0,0.0,8500.0,0.0,0.0,0.0,8500.0,338550,115950
2024-02-09,12:49,129.65,103200,1231200,8250,1.1500000000000057,LB,204.0,20500,675050,15150,-3.1500000000000057,SB,0.0,15150.0,15150.0,-207450,8250.0,0.0,0.0,0.0,0.0,15150.0,0.0,0.0,0.0,15150.0,338550,131100
2024-02-09,12:52,124.35,50950,1231550,350,-5.300000000000011,SB,209.2,11350,673700,-1350,5.199999999999989,SC,-350.0,-1350.0,-1700.0,-209150,0.0,350.0,0.0,0.0,0.0,0.0,0.0,-1350.0,350.0,-1350.0,338900,129750
2024-02-09,12:55,118.6,86750,1221800,-9750,-5.75,LC,217.0,38700,685050,11350,7.800000000000011,LB,-0.0,0.0,0.0,-209150,0.0,0.0,-9750.0,0.0,11350.0,0.0,0.0,0.0,0.0,0.0,338900,129750
2024-02-09,12:58,123.3,74000,1237150,15350,4.700000000000003,LB,209.5,22600,686450,1400,-7.5,SB,0.0,1400.0,1400.0,-207750,15350.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,1400.0,338900,131150
2024-02-09,13:01,126.45,51550,1251450,14300,3.1500000000000057,LB,204.05,16200,696800,10350,-5.449999999999989,SB,0.0,10350.0,10350.0,-197400,14300.0,0.0,0.0,0.0,0.0,10350.0,0.0,0.0,0.0,10350.0,338900,141500
2024-02-09,13:04,125.25,33100,1257750,6300,-1.2000000000000028,SB,204.3,18850,700700,3900,0.25,LB,-6300.0,0.0,-6300.0,-203700,0.0,6300.0,0.0,0.0,3900.0,0.0,0.0,0.0,6300.0,0.0,345200,141500
2024-02-09,13:07,123.75,28850,1261850,4100,-1.5,SB,208.55,25050,693900,-6800,4.25,SC,-4100.0,-6800.0,-10900.0,-214600,0.0,4100.0,0.0,0.0,0.0,0.0,0.0,-6800.0,4100.0,-6800.0,349300,134700
2024-02-09,13:10,122.15,49900,1245400,-16450,-1.5999999999999943,LC,208.5,15800,692050,-1850,-0.0500000000000113,LC,-0.0,-0.0,-0.0,-214600,0.0,0.0,-16450.0,0.0,0.0,0.0,-1850.0,0.0,0.0,0.0,349300,134700
2024-02-09,13:13,124.7,39750,1254700,9300,2.549999999999997,LB,204.7,15650,687100,-4950,-3.8000000000000114,LC,0.0,-0.0,0.0,-214600,9300.0,0.0,0.0,0.0,0.0,0.0,-4950.0,0.0,0.0,0.0,349300,134700
2024-02-09,13:16,121.65,39000,1243800,-10900,-3.049999999999997,LC,209.0,51450,708650,21550,4.300000000000011,LB,-0.0,0.0,0.0,-214600,0.0,0.0,-10900.0,0.0,21550.0,0.0,0.0,0.0,0.0,0.0,349300,134700
2024-02-09,13:19,114.7,73900,1247350,3550,-6.950000000000003,SB,217.45,20050,705200,-3450,8.449999999999989,SC,-3550.0,-3450.0,-7000.0,-221600,0.0,3550.0,0.0,0.0,0.0,0.0,0.0,-3450.0,3550.0,-3450.0,352850,131250
2024-02-09,13:22,115.8,39300,1251800,4450,1.0999999999999943,LB,218.0,26050,704750,-450,0.5500000000000114,SC,0.0,-450.0,-450.0,-222050,4450.0,0.0,0.0,0.0,0.0,0.0,0.0,-450.0,0.0,-450.0,352850,130800
2024-02-09,13:25,118.0,41900,1242000,-9800,2.200000000000003,SC,215.9,13100,700350,-4400,-2.0999999999999943,LC,9800.0,-0.0,9800.0,-212250,0.0,0.0,0.0,-9800.0,0.0,0.0,-4400.0,0.0,-9800.0,0.0,343050,130800
2024-02-09,13:28,119.7,29450,1241800,-200,1.7000000000000028,SC,210.9,12350,699600,-750,-5.0,LC,200.0,-0.0,200.0,-212050,0.0,0.0,0.0,-200.0,0.0,0.0,-750.0,0.0,-200.0,0.0,342850,130800
2024-02-09,13:31,115.25,65950,1245300,3500,-4.450000000000003,SB,216.05,26550,699650,50,5.150000000000006,LB,-3500.0,0.0,-3500.0,-215550,0.0,3500.0,0.0,0.0,50.0,0.0,0.0,0.0,3500.0,0.0,346350,130800
