Date,Time,open,high,low,close,EMA 9,Recorded EMA9,Delta,EMA 21,Recorded EMA 21,DELTA,EMA 50,Recorded EMA 50,DELTA,EMA 200,Recorded EMA 200,DELTA,,0.2
02-08-2023,09:23,262.05,262.9,258.85,258.85,270.6508373,,,291.5350224,,,313.7303477,,,334.3830647,,,,
02-08-2023,09:24,258.85,258.85,254.9,254.9,267.5006698,,,288.2045692,,,311.4232568,,,333.5922082,,,,
02-08-2023,09:25,254.9,254.9,254.9,254.9,264.9805358,,,285.1768841,,,309.2066408,,,332.8092207,,,,
02-08-2023,09:26,254.9,254.9,246.6,246.6,261.3044287,,,281.6698981,,,306.7514587,,,331.951439,,,,
02-08-2023,09:27,246.6,247.55,245.95,245.95,258.2335429,,,278.4226379,,,304.3670687,,,331.0957247,,,,
02-08-2023,09:28,245.95,246.3,245,246.3,255.8468344,,,275.502401,,,302.0899106,,,330.2520072,,,,
02-08-2023,09:29,246.3,246.3,242,244.35,253.5474675,,,272.6703674,,,299.8255822,,,329.3972822,,,,
02-08-2023,09:30,244.35,244.35,244.35,244.35,251.707974,,,270.0957911,,,297.6500518,,,328.5510618,,,,
02-08-2023,09:31,244.35,244.35,244.35,244.35,250.2363792,,,267.755267,,,295.559837,,,327.7132612,,,,
02-08-2023,09:32,244.35,247.8,244.35,247.8,249.7491034,,,265.9411536,,,293.6868872,,,326.9181243,,,,
02-08-2023,09:33,247.8,247.8,245,245,248.7992827,,,264.0374143,,,291.7775822,,,326.1030389,,,,
02-08-2023,09:34,245,247.7,245,247.7,248.5794261,,,262.5521963,,,290.0490358,,,325.3229287,,,,
02-08-2023,09:35,247.7,247.7,247.7,247.7,248.4035409,,,261.201998,,,288.388276,,,324.5505806,,,,
02-08-2023,09:36,247.7,248.05,245.9,245.9,247.9028327,,,259.8109086,,,286.7220558,,,323.7680073,,,,
02-08-2023,09:37,245.9,246.4,245.9,246.4,247.6022662,,,258.5917364,,,285.140786,,,322.9981956,,,,
02-08-2023,09:38,246.4,246.4,246.4,246.4,247.3618129,,,257.4833978,,,283.6215274,,,322.2360436,,,,
02-08-2023,09:39,246.4,246.4,246.4,246.4,247.1694504,,,256.4758172,,,282.1618479,,,321.4814749,,,,
02-08-2023,09:40,246.4,246.4,243.1,243.1,246.3555603,,,255.259835,,,280.6299985,,,320.7015793,,,,
